0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Alavés,22,27.7,52.0,9,99,810,9.0,8,4,12,5,3,3,19,0,8.6,6.5,4.7,11.2,117,294,0.89,0.44,1.33,0.56,1.00,0.96,0.53,1.49,0.72,1.24
Athletic Club,24,27.9,50.8,9,99,810,9.0,8,2,10,5,3,3,16,2,12.0,9.7,6.7,16.3,163,397,0.89,0.22,1.11,0.56,0.78,1.34,0.74,2.08,1.08,1.82
Atlético Madrid,22,28.0,54.8,9,99,810,9.0,15,9,24,14,1,2,20,2,15.8,14.3,11.6,25.9,189,423,1.67,1.00,2.67,1.56,2.56,1.76,1.29,3.04,1.59,2.87
Barcelona,25,25.5,69.7,9,99,810,9.0,23,18,41,22,1,2,12,0,19.6,18.1,14.5,32.5,241,528,2.56,2.00,4.56,2.44,4.44,2.18,1.61,3.79,2.01,3.61
Betis,25,27.9,51.2,9,99,810,9.0,14,13,27,14,0,0,18,0,12.3,12.3,10.1,22.5,158,357,1.56,1.44,3.00,1.56,3.00,1.37,1.12,2.50,1.37,2.50
Celta Vigo,24,26.1,52.4,9,99,810,9.0,8,5,13,7,1,1,17,1,10.3,9.6,8.2,17.8,162,430,0.89,0.56,1.44,0.78,1.33,1.14,0.91,2.06,1.06,1.97
Elche,26,27.3,58.4,9,99,810,9.0,11,7,18,11,0,1,17,1,10.6,9.8,7.5,17.3,154,317,1.22,0.78,2.00,1.22,2.00,1.18,0.84,2.01,1.09,1.93
Espanyol,22,27.6,41.9,9,99,810,9.0,13,9,22,11,2,3,14,1,17.1,14.7,12.3,27.0,154,305,1.44,1.00,2.44,1.22,2.22,1.90,1.37,3.26,1.64,3.00
Getafe,23,28.4,38.7,9,99,810,9.0,9,9,18,9,0,0,24,2,6.1,6.1,4.8,10.9,72,198,1.00,1.00,2.00,1.00,2.00,0.68,0.53,1.21,0.68,1.21
Girona,27,27.6,44.3,9,99,810,9.0,6,4,10,6,0,0,19,5,8.4,8.4,6.9,15.2,153,296,0.67,0.44,1.11,0.67,1.11,0.93,0.76,1.69,0.93,1.69
Levante,24,27.1,41.2,9,99,810,9.0,13,7,20,12,1,1,19,0,12.7,12.1,7.9,20.1,88,250,1.44,0.78,2.22,1.33,2.11,1.41,0.88,2.29,1.35,2.23
Mallorca,24,28.3,43.4,9,99,810,9.0,10,7,17,9,1,1,19,3,8.1,7.3,5.6,12.9,103,273,1.11,0.78,1.89,1.00,1.78,0.90,0.62,1.53,0.82,1.44
Osasuna,20,28.7,44.2,9,99,810,9.0,7,5,12,6,1,1,18,2,9.0,8.3,6.6,14.8,106,247,0.78,0.56,1.33,0.67,1.22,1.01,0.73,1.73,0.92,1.65
Oviedo,26,28.6,42.9,9,99,810,9.0,4,2,6,4,0,1,22,3,7.1,6.3,4.1,10.4,135,255,0.44,0.22,0.67,0.44,0.67,0.79,0.45,1.25,0.70,1.16
Rayo Vallecano,24,29.5,53.1,9,99,810,9.0,11,8,19,10,1,1,23,1,13.5,12.7,9.6,22.3,143,324,1.22,0.89,2.11,1.11,2.00,1.50,1.07,2.57,1.41,2.48
Real Madrid,22,25.7,63.4,9,99,810,9.0,20,16,36,17,3,3,15,1,19.9,17.6,14.2,31.8,230,511,2.22,1.78,4.00,1.89,3.67,2.21,1.58,3.79,1.95,3.53
Real Sociedad,26,26.4,52.9,9,99,810,9.0,8,6,14,7,1,1,22,0,11.9,11.2,10.0,21.2,175,399,0.89,0.67,1.56,0.78,1.44,1.33,1.11,2.44,1.25,2.36
Sevilla,28,27.7,52.1,9,99,810,9.0,15,12,27,14,1,1,29,0,9.2,8.4,7.2,15.7,153,293,1.67,1.33,3.00,1.56,2.89,1.03,0.80,1.83,0.94,1.74
Valencia,21,27.1,46.7,9,99,810,9.0,10,10,20,10,0,1,14,1,9.4,8.6,7.4,16.0,128,276,1.11,1.11,2.22,1.11,2.22,1.04,0.82,1.86,0.95,1.77
Villarreal,25,26.2,45.8,9,99,810,9.0,16,13,29,16,0,0,19,1,13.9,13.9,11.5,25.4,203,362,1.78,1.44,3.22,1.78,3.22,1.55,1.28,2.82,1.55,2.82
vs Alavés,22,27.9,48.0,9,99,810,9.0,8,4,12,8,0,0,24,1,7.2,7.2,4.4,11.6,108,278,0.89,0.44,1.33,0.89,1.33,0.80,0.49,1.29,0.80,1.29
vs Athletic Club,24,27.5,49.2,9,99,810,9.0,8,7,15,8,0,0,23,1,7.3,7.3,5.9,13.2,147,236,0.89,0.78,1.67,0.89,1.67,0.81,0.65,1.47,0.81,1.47
vs Atlético Madrid,22,27.6,45.2,9,99,810,9.0,10,8,18,9,1,1,25,0,9.7,8.9,7.3,16.2,119,319,1.11,0.89,2.00,1.00,1.89,1.08,0.81,1.88,0.99,1.80
vs Barcelona,25,28.4,30.3,9,99,810,9.0,10,7,17,8,2,2,28,2,10.8,9.5,8.4,17.9,92,163,1.11,0.78,1.89,0.89,1.67,1.20,0.94,2.14,1.05,1.99
